key,subnodes
"가마니001",5
"가마니002",2
"가마니003",3
"가마니012",2
"가마니때기001",1
"가마니때기002",1
"가마때기001",1
"가마때기002",1
"가마솥001",9
"가마솥002",3
"가마솥005",2
"가마싸움001",1
"가마우지001",2
"가마우지003",1
"가마우짓과001",4
"가마타기001",1
"가마타기002",1
"가마터001",1
"가마터002",1
"가마호수004",1
"가막조개005",1
"가만빛002",1
"가만색001",1
"가만색002",1
"가망001",1
"가망002",1
"가망007",1
"가망거리001",1
"가망성001",1
"가망성002",1
"가매001",1
"가매002",1
"가매003",1
"가매005",1
"가매장001",1
"가맥001",1
"가맹001",1
"가맹국001",1
"가맹점006",1
"가면001",1
"가면002",1
"가면003",1
"가면006",1
"가면극001",10
"가면극002",3
"가면극003",2
"가면극007",1
"가면무001",5
"가면무023",1
"가면무도회001",1
"가면무도회006",1
"가면희001",1
"가면희023",1
"가명001",1
"가명002",1
"가명003",1
"가명005",1
"가명006",1
"가명007",1
"가명종002",1
"가모001",1
"가모002",1
"가모장001",1
"가목001",1
"가묘001",1
"가묘002",1
"가무001",6
"가무002",3
"가무005",1
"가무008",2
"가무020",1
"가무관청계002",1
"가무단001",1
"가무단020",1
"가무락조개001",1
"가무락조개005",1
"가문001",12
"가문002",3
"가문005",1
"가문008",2
"가문013",2
"가문020",1
"가문비001",1
"가문비나무001",1
"가문서001",1
"가물001",2
"가물020",1
"가물치005",1
"가물치곰020",1
"가물칫과001",2
"가물칫과003",2
"가물칫국020",1
"가뭄001",6
"가뭄002",2
"가뭄020",1
"가뭄해020",1
"가미001",3
"가미004",1
"가미005",1
"가미007",1
"가미008",1
"가미020",1
"가발001",1
"가발002",4
"가발006",3
"가방001",13
"가방002",2
"가방003",1
"가방004",1
"가방005",2
"가방006",2
"가방007",1
"가방008",1
"가방010",2
"가방014",3
"가방모치001",1
"가방잡이001",1
"가배001",1
"가배일001",1
"가배절001",1
"가배절002",1
"가백작약004",1
"가벌001",1
"가벌006",1
"가법002",1
"가법003",1
"가법004",1
"가법018",1
"가벼운색001",1
