"head","tail"
"그래놀리스001","그래놀리식001"
"그레001","그레칼001"
"그레떼기001","그레질001"
"극간풍001","인필트레이션001"
"근석001","밑돌001"
"근석002","밑돌002"
"근지공001","비탈멈춤공사001"
"금단청001","금018"
"금대002","금띠001"
"금사009","금실005"
"급경제001","경화촉진제001"
"긋기새001","거풍001"
"기둥머리001","캐피털001"
"기둥밑동001","주각003"
"기둥뿌리001","기둥밑동001"
"기둥뿌리001","주각003"
"기복둑001","기복위어001"
"기슭막이001","보안공001"
"기역자관001","엘보005"
"기역자관002","ㄱ자관002"
"기역자자001","구018"
"기역자자001","곡척001"
"기역자자001","구척002"
"기역자홈001","ㄱ자턱솔홈001"
"기왓고랑001","기왓골001"
"기왓고랑001","와구001"
"기축008","종도리001"
"긴보001","장보001"
"긴장여001","통장여001"
"긴결재001","폼타이001"
"긴촉이음001","장촉접합001"
"긴촉이음001","산지이음001"
"길도랑001","측구001"
"길도랑001","가거004"
"길마루001","노정002"
"길이쌓기001","장방적001"
"길이모쌓기001","장방적001"
"꺾은반자001","귀접이반자001"
"꺾임천장001","평사천장001"
"꽃담001","화문담001"
"꽃담001","화초담001"
"꽃무늬담001","화초담001"
"꽃무늬담001","화문장001"
"꽃무늬담001","화문담001"
"꾸민난간001","헌란001"
"끝기둥001","갓기둥001"
"끝기둥001","다리받침001"
"나010","연가005"
"나무손001","목흙손001"
"나무흙손001","목흙손001"
"나비장이음001","나비은장이음001"
"난대001","손스침001"
"난대001","난간두겁대001"
"난간동자001","난간동자기둥001"
"난간두겁대001","손스침001"
"난간청판001","난간궁창001"
"난간하엽001","난간연잎001"
"난두001","난간머리001"
"난함001","구란002"
"난함001","핸드레일001"
"날개집001","익당001"
"날개집001","익사003"
"남상기둥001","어틀랜티즈001"
"납실001","연사009"
"내변주001","안둘렛기둥001"
"내경003","안우림001"
"내다지보001","내민보001"
"내닫이창001","내민창001"
"내리닫이002","내리닫이창001"
"내리닫이002","오르내리창001"
"내벽001","안벽001"
"내주009","안기둥001"
"냉교001","콜드브리지001"
"너새002","너와001"
"너와집001","너새집001"
"넓적끌001","넓은끌001"
"네모서까래001","방연001"
"네일러001","콘크리트매설목재001"
"노대007","난간뜰001"
"노치007","목홈001"
"누르개001","누리개001"
"누운외001","누울외001"
"누운장대001","와장대001"
"누혈001","구멍돌001"
"눈하중001","설하중001"
"니치001","벽감실001"
"다락마루001","누마루001"
"다리받침001","갓기둥001"
"다리턱001","단주010"
"다림추001","가늠추002"
"다이어프램005","칸막이002"
"다짐기002","다짐기계001"
"다포초자001","다포유리001"
"다포초자001","포말유리001"
"단익공001","초입궁001"
"단익공001","초익공001"
"단입공001","초익공001"
"단근003","단철근001"
"단여001","단연003"
"단주010","교대006"
"단주010","다리받침001"
"단첨001","홑처마001"
"단첨003","왜첨001"
"단청001","단벽001"
"닫집001","당가001"
"닫집001","감실장002"
"달비계001","그네비계001"
"달개집001","달개002"
"달대002","달목001"
"답로001","소단003"
"당마루001","너새001"
"당판002","마루청001"
"당판002","청판002"
"당판002","마루판001"
"대못002","큰못001"
"대량003","대들보001"
"대방013","띠006"
"대재007","카운터006"
"대접004","대접소로001"
"대접받침001","대접소로001"
"대접받침001","주두003"
"대접쇠001","첩금철001"
"대청003","대청마루001"
"대청003","당010"
"대청마루001","당010"
"덧지붕001","헛지붕001"
"덮개판002","커버플레이트001"
"덮개판002","플랜지플레이트001"
"덴조001","양상007"
"덴조001","천장002"
"뎃킨001","철근001"
"도개교001","수직회전교001"
"도관012","도기관001"
"도급금001","청부금001"
"도깨비기와001","귀와001"
"도끼벌001","자귀벌001"
"도내기홈001","도내기개탕001"
"도랑둑001","도류제001"
"도로교001","길다리001"
"도류공001","도류제001"
"도류벽001","도랑벽001"
"도리스식001","도리스양식001"
"도수교001","도랑다리001"
"도와쿠001","문광001"
"돌망태001","철선사롱001"
"돌관공사001","돌관작업001"
"돌관공사001","강행공사001"
"돌보001","도리002"
"돌제003","돌출제001"
"돌출보001","내민보001"
"동바리002","지보공001"
"동바리003","동자기둥001"
"동바리003","쪼구미001"
"동고006","종고001"
"동고006","마루높이001"
"동살대001","동살002"
"동살대001","동전004"
"동수경사001","동수구배001"
"동수구배001","수력경사도001"
"동와001","부와002"
"동와001","수키와001"
"동자기둥001","쪼구미001"
"동자못001","동자정001"
"동자석002","동자주002"
"동자주001","쪼구미001"
"동자주001","동자기둥001"
"동전004","동살002"
"두겁대001","난대001"
"두겁대001","난간두겁대001"
"두껍닫이001","두껍집001"
"두단금001","머리끝금001"
"두벌대001","두벌장대001"
"두사슬고리001","이절환001"
"두초001","머리초001"
"둑기둥001","언주001"
"둑비탈001","법면001"
"둥근귀001","원각001"
"둥근기둥001","두리기둥001"
"둥근면001","둥근모001"
"둥근대갈못001","원두정001"
"뒤대패001","뒤집대패001"
"뒤대패001","혹대패001"
"뒤대패001","뒤젭대패001"
"뒤젭대패001","혹대패001"
"뒤젭대패001","뒤집대패001"
"뒤집대패001","혹대패001"
"뒷목초001","안목초001"
"뒷방001","후방003"
"드레저001","준설기001"
"들도리001","처마도리001"
"들연001","첨연001"
"들연001","하연001"
"들연001","평연003"
"들창002","들창문002"
"등성마루001","척량002"
"등자쇠002","감잡이쇠002"
"등자철001","등자쇠001"
"등자철002","감잡이쇠002"
"땅깎기001","절토001"
"땜자갈001","틈막이자갈001"
"뜬용001","부룡001"
"띠철근001","띠근001"
"띳방001","띠006"
"띳방001","대방013"
"띳장001","띠006"
"띳장001","대방013"
"루버001","비늘살001"
"리을자집001","ㄹ자집001"
"리터법001","리터의절단법001"
"마루006","말루001"
"마루높이001","종고001"
"마루벽돌001","종벽돌001"
"마루판001","마루청001"
"마루판001","플로어보드001"
"마루판001","청판002"
"마룻귀틀001","바닥장선001"
"마룻널001","당판002"
"마룻널001","마루청001"
"마룻널001","청판002"
"마룻널001","마룻장001"
"마룻대001","종도리001"
"마룻도리001","종도리001"
"마룻도리001","용동001"
"마룻보001","종량001"
"마룻장001","청판002"
"마름돌001","절석001"
"마무리대패001","고운대패001"
"마제002","마제추녀001"
"마제연002","말굽002"
"마제연002","마제추녀001"
"마제철002","대접쇠001"
"마제철002","첩금철001"
"마제추녀001","말굽002"
"막대패001","초련대패001"
"막대패001","초련포001"
"막새002","묘두와001"
"막새002","막새기와002"
"막새기와001","막새001"
"막장001","걸이002"
"만자창001","완자창001"
"말집001","모말집001"
"말굽서까래001","마제추녀001"
"말굽서까래001","말굽002"
"말굽추녀001","말굽002"
"망새002","용머리001"
"망새002","용두와001"
"망자집001","도망망자집001"
